ID,Used,Gender,Age,Education,Years,State,Beekeeping is my primary source of income,Beekeeping is my secondary source of income,Beekeeping is my hobby,I started beekeeping because I enjoy observing bees,I started beekeeping to be outside and connect with nature,I started beekeeping for the pollination services,I started beekeeping to help bees and the Earth,I actively manage my bees,Land Use,Floral Resources,Insecticide,Economic Value,Climate,Beescape is simple,I would like to use Beescape frequently,Beescape is easy to use,I could use Beescape without technical support from another person,The various functions of Beescape are well integrated,The Beescape interface is consistent,Most people could learn to use Beescape quickly,Beescape provides an intuitive interface,I feel confident using Beescape,Nesting,Insecticide,Spring floral,Summer floral,Fall floral,Economic value,Nesting and floral resources,Insecticide,Economic value,The map,Land use,Report card,Temperature and precipitation,Beescape will help me make better decisions about beekeeping,I would recommend using Beescape to other beekepers,I trust what I see when using Beescape,It's worth taking time away from my other responsibilities to use Beescape, I would like to integrate Beescape into my beekeeping workflow over time,The information Beescape provides is relevant to my beekeeping practices,Beescape will help me connect to what is happening in beekeeping science,Beescape would help me meet other beekeepers,Address/Location,Date,Economic Value,Habitat Quality Factors,Land Use,Map,Temperature, Precipitation,Allow users to visualize nearby apiaries on the map.,Allow users to visualize how scores will change in the future for their apiary.,Add discussion boards to support beekeeper conversations about landscape health and sustainability.,Allow data from Beescape to be exported for use in other tools.,View management tips for new beekeepers.,View how data collection is helping scientists at Penn State,Use Beescape on a mobile device (phone or tablet)
11,No,1,34-44,Some college,5,"PA, MD",Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Agree,5,5,5,na,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,7,4,2,5,3,1,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,6,3,1,5,7,4,2
4,No,2,54-65,Graduate or professional degree,9,MA,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,5,4,4,4,5,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,4,3,7,1,2,6,5,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,3,5,6,2,7,4,1
35,Yes,2,54-65,Graduate or professional degree,20,"NH, PA",Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,5,5,na,na,5,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,1,4,7,3,2,5,6,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Very useful,Somewhat useful,Neither useful nor not useful,Neither useful nor not useful,Very useful,Very useful,Neither useful nor not useful,Very useful,1,2,4,6,5,3,7
26,No,2,66 or Older,Bachelor's degree,46,"NY, PA",Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,5,5,4,5,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,1,7,6,4,3,5,2,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat useful,Neither useful nor not useful,Neither useful nor not useful,Very useful,Very useful,Very useful,Very useful,Very useful,7,2,6,4,1,3,5
2,Yes,1,25-33,High school graduate or equivalent,1,PA,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,1,2,3,3,4,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,3,6,4,5,7,2,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Very useful,Somewhat useful,Neither useful nor not useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,2,5,7,4,6,3,1
3,No,1,45-54,Some high school,4,PA,,,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,5,3,3,na,4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,4,5,6,1,2,7,3,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neither useful nor not useful,Neither useful nor not useful,,Somewhat useful,Very useful,Very useful,Very useful,Very useful,5,6,3,7,2,4,1
9,No,1,66 or Older,Bachelor's degree,8,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,5,5,5,na,5,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,5,2,7,3,4,6,1,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat useful,Somewhat useful,Neither useful nor not useful,Very useful,Very useful,Very useful,Very useful,Very useful,2,5,3,6,4,7,1
10,No,1,25-33,Graduate or professional degree,2,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,4,4,4,4,4,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,3,2,7,1,4,6,5,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat useful,Neither useful nor not useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,3,2,5,6,4,7,1
17,No,1,25-33,Graduate or professional degree,1,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,5,na,na,na,5,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,2,1,6,4,5,7,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither useful nor not useful,Neither useful nor not useful,Somewhat not useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,3,1,4,7,5,6,2
22,Yes,1,54-65,Bachelor's degree,1,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,4,5,na,na,5,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,2,4,7,1,3,5,6,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,,,Very useful,Neither useful nor not useful,Neither useful nor not useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,2,3,5,7,6,1,4
